Click Location X,Click Location Y,Center Location X,Center Location Y
1093.467,519.9987,1060.888,540
259.0461,519.9987,219.1117,539.9999
1032.356,678.9579,1028.85,701.067
258.0536,336.0378,251.1499,378.933
930.4106,829.9829,937.613,837.613
335.186,197.0062,342.387,242.387
777.28,907.0177,801.067,928.8501
479.2423,127.9977,478.933,151.1499
656.1934,1008.962,640,960.8884
636.2013,74.02722,640,119.1116
488.175,894.0095,478.933,928.8501
790.3245,192.0243,801.067,151.1499
350.0738,817.9895,342.387,837.613
930.4106,264.9998,937.6129,242.3869
293.0751,682.0024,251.1499,701.067
1032.356,335.0229,1028.85,378.933
