Click Location X,Click Location Y,Center Location X,Center Location Y
1072.482,567.9724,1060.888,540
188.0105,575.9988,219.1117,539.9999
996.3419,685.9694,1028.85,701.067
253.091,415.0099,251.1499,378.933
941.3283,850.0028,937.613,837.613
343.1261,220.993,342.387,242.387
767.3548,901.021,801.067,928.8501
466.1978,176.9863,478.933,151.1499
639.3206,972.9816,640,960.8884
608.2691,106.0405,640,119.1116
501.2194,911.9996,478.933,928.8501
792.3095,151.9846,801.067,151.1499
304.1346,869.0077,342.387,837.613
950.4027,250.9766,937.6129,242.3869
259.0461,673.976,251.1499,701.067
1025.408,342.9571,1028.85,378.933
