Click Location X,Click Location Y,Center Location X,Center Location Y
611.3678,241.3667,616.2036,236.5
244.8535,241.3667,247.7964,236.5
611.3678,311.375,602.1819,307.0414
269.5623,182.34,261.8181,165.9586
564.6956,370.4016,562.2516,366.8435
299.762,105.4681,301.7484,106.1565
508.4143,412.9557,502.4916,406.8019
360.1614,62.91402,361.5083,66.19804
437.0333,423.9374,432,420.8335
437.0333,57.42317,432,52.16649
362.9068,406.0922,361.5084,406.8019
501.5508,60.1686,502.4917,66.19807
309.371,363.5381,301.7484,366.8435
563.3228,109.5863,562.2516,106.1565
269.5623,315.4931,261.8181,307.0414
600.386,165.8675,602.1819,165.9586
