Click Location X,Click Location Y,Center Location X,Center Location Y
598.7136,235.0104,616.2036,236.5
233.2834,238.7343,247.7964,236.5
614.3429,290.8691,602.1819,307.0414
249.657,147.871,261.8181,165.9586
563.7335,388.4355,562.2516,366.8435
280.1716,101.6945,301.7484,106.1565
507.9142,397.3729,502.4916,406.8019
353.1088,65.20021,361.5083,66.19804
443.9081,439.0807,432,420.8335
432,52.53895,432,52.16649
353.1088,388.4355,361.5084,406.8019
504.1929,58.49721,502.4917,66.19807
306.2206,372.7952,301.7484,366.8435
561.5007,89.03327,562.2516,106.1565
271.2405,293.8482,261.8181,307.0414
609.8775,149.3606,602.1819,165.9586

22.49597,
9,
16,
