Click Location X,Click Location Y,Center Location X,Center Location Y
623.7222,244.1121,616.2036,236.5
255.8352,237.2485,247.7964,236.5
609.9951,307.2569,602.1819,307.0414
261.3261,172.731,261.8181,165.9586
564.6956,362.1653,562.2516,366.8435
313.4892,106.8408,301.7484,106.1565
502.9235,403.3467,502.4916,406.8019
351.9251,69.77759,361.5083,66.19804
437.0333,426.6828,432,420.8335
428.797,43.69605,432,52.16649
376.6339,407.4649,361.5084,406.8019
497.4326,68.40488,502.4917,66.19807
303.8802,373.1471,301.7484,366.8435
556.4593,98.60455,562.2516,106.1565
264.0715,310.0023,261.8181,307.0414
593.5225,171.3583,602.1819,165.9586
