Click Location X,Click Location Y,Center Location X,Center Location Y
599.4578,236.5,616.2036,236.5
265.2864,232.7761,247.7964,236.5
599.4578,299.0617,602.1819,307.0414
253.3783,170.2144,261.8181,165.9586
574.153,351.1964,562.2516,366.8435
303.9878,93.50192,301.7484,106.1565
502.7044,420.4612,502.4916,406.8019
347.1547,74.88242,361.5083,66.19804
425.3017,414.5029,432,420.8335
429.7672,34.66417,432,52.16649
379.1577,396.6281,361.5084,406.8019
497.4946,47.32544,502.4917,66.19807
304.732,346.7278,301.7484,366.8435
574.8972,98.71539,562.2516,106.1565
262.3093,303.5304,261.8181,307.0414
583.0841,172.4488,602.1819,165.9586
